"rule_id","list_type","category","term_en","term_es","detection_mode","severity","reason_zh","safe_alternative_en","safe_alternative_es","evidence_required","source_url","verified_date","version"
"R-P001","prohibited","medical_claim","cure / cures / cured","curar / cura / curado","semantic","block","基础化妆品不得宣称治愈疾病。","helps skin feel comfortable","ayuda a que la piel se sienta cómoda","not_applicable_in_current_MVP","https://www.fda.gov/cosmetics/cosmetics-labeling/cosmetics-labeling-claims","2026-07-28","1.0"
"R-P002","prohibited","medical_claim","treats acne or eczema","trata el acné o el eczema","semantic","block","治疗疾病会改变商品监管属性。","cleanses the skin / helps skin feel moisturized","limpia la piel / ayuda a que la piel se sienta hidratada","not_applicable_in_current_MVP","https://www.fda.gov/cosmetics/cosmetics-labeling/cosmetics-labeling-claims","2026-07-28","1.0"
"R-P003","prohibited","medical_claim","prevents skin disease","previene enfermedades de la piel","semantic","block","当前商品无疾病预防用途。","supports a simple daily routine","acompaña una rutina diaria sencilla","not_applicable_in_current_MVP","https://www.fda.gov/cosmetics/cosmetics-labeling/cosmetics-labeling-claims","2026-07-28","1.0"
"R-P004","prohibited","structure_function","repairs or rebuilds the skin barrier","repara o reconstruye la barrera cutánea","semantic","block","事实库没有皮肤结构修复证据。","helps skin feel hydrated","ayuda a que la piel se sienta hidratada","specific_external_efficacy_evidence","data/products/product_facts.json","2026-07-28","1.0"
"R-P005","prohibited","anti_aging","removes wrinkles / erases fine lines","elimina arrugas / borra líneas de expresión","semantic","block","事实库没有抗皱测试。","helps skin feel soft","ayuda a que la piel se sienta suave","specific_external_efficacy_evidence","data/products/product_facts.json","2026-07-28","1.0"
"R-P006","prohibited","clinical_claim","clinically proven","clínicamente comprobado","semantic","block","没有临床研究资料。","based on the project product specification","según la ficha de producto del proyecto","clinical_study_and_claim_review","data/products/product_facts.json","2026-07-28","1.0"
"R-P007","prohibited","regulatory_approval","FDA approved","aprobado por la FDA","exact_and_semantic","block","FDA明确化妆品不得暗示FDA批准。","omit the approval claim","omitir la afirmación de aprobación","not_applicable","https://www.fda.gov/cosmetics/cosmetics-labeling/cosmetics-labeling-regulations","2026-07-28","1.0"
"R-P008","prohibited","regulatory_approval","COFEPRIS approved","aprobado por COFEPRIS","exact_and_semantic","block","项目没有墨西哥监管批准资料。","omit the approval claim","omitir la afirmación de aprobación","official_product_specific_authorization_if_applicable","data/products/product_facts.json","2026-07-28","1.0"
"R-P009","prohibited","safety_claim","hypoallergenic","hipoalergénico","exact_and_semantic","block","当前事实库没有低敏测试。","made without added fragrance","sin fragancia añadida","hypoallergenic_test_and_review","data/products/product_facts.json","2026-07-28","1.0"
"R-P010","prohibited","safety_claim","allergy-free","libre de alergias","semantic","block","无添加香精不等于无过敏风险。","fragrance-free","sin fragancia añadida","robust_allergy_evidence","data/products/product_facts.json","2026-07-28","1.0"
"R-P011","prohibited","absolute_claim","safe for everyone","seguro para todas las personas","semantic","block","绝对安全无法由当前资料支持。","for adults seeking a simple daily routine","para personas adultas que buscan una rutina diaria sencilla","broad_population_safety_evidence","data/products/product_facts.json","2026-07-28","1.0"
"R-P012","prohibited","absolute_claim","guaranteed results","resultados garantizados","semantic","block","个体结果不可保证。","helps skin feel hydrated","ayuda a que la piel se sienta hidratada","not_applicable_in_current_MVP","data/brand/brand_voice_guide.md","2026-07-28","1.0"
"R-P013","prohibited","hype","miracle / miraculous","milagro / milagroso","semantic","block","违反克制可信的品牌语调。","simple / gentle","sencillo / suave","not_applicable","data/brand/brand_voice_guide.md","2026-07-28","1.0"
"R-P014","prohibited","safety_claim","non-toxic","no tóxico","semantic","block","当前资料没有支持对人体和环境均无毒的证据。","list the verified ingredients or features","indicar los ingredientes o las características verificadas","competent_and_reliable_scientific_evidence","https://www.ftc.gov/business-guidance/resources/environmental-claims-summary-green-guides","2026-07-28","1.0"
"R-P015","prohibited","free_from_claim","chemical-free","libre de químicos","semantic","block","宽泛且不科学，事实库也不支持。","made without added fragrance","sin fragancia añadida","not_applicable","https://www.ftc.gov/business-guidance/resources/environmental-claims-summary-green-guides","2026-07-28","1.0"
"R-P016","prohibited","medical_claim","antibacterial","antibacteriano","semantic","block","当前商品没有抗菌功效或相关测试。","cleanses surface dirt","limpia la suciedad superficial","antimicrobial_test_and_regulatory_review","data/products/product_facts.json","2026-07-28","1.0"
"R-P017","prohibited","medical_claim","anti-inflammatory","antiinflamatorio","semantic","block","当前商品没有抗炎功效资料。","helps skin feel comfortable","ayuda a que la piel se sienta cómoda","specific_external_efficacy_evidence","data/products/product_facts.json","2026-07-28","1.0"
"R-P018","prohibited","detox_claim","detox / deep detox","detox / desintoxicación profunda","semantic","block","事实库仅支持表面清洁。","helps remove surface dirt and excess oil","ayuda a retirar la suciedad superficial y el exceso de grasa","specific_supported_mechanism","data/products/product_facts.json","2026-07-28","1.0"
"R-P019","prohibited","duration_claim","72-hour hydration","hidratación por 72 horas","semantic","block","没有持续时间测试。","helps skin feel hydrated","ayuda a que la piel se sienta hidratada","time_bound_hydration_study","data/products/product_facts.json","2026-07-28","1.0"
"R-P020","prohibited","transport_claim","TSA approved","aprobado por la TSA","exact_and_semantic","block","套装只有容量事实，没有航空机构批准。","three travel-size products","tres productos en tamaño de viaje","official_transport_evidence","data/products/product_facts.json","2026-07-28","1.0"
"R-P021","prohibited","scarcity_claim","limited edition / almost sold out","edición limitada / casi agotado","semantic","block","项目没有限量或库存证据。","explore the routine","conoce la rutina","current_inventory_or_campaign_evidence","data/brand/brand_voice_guide.md","2026-07-28","1.0"
"R-P022","prohibited","endorsement","doctor recommended","recomendado por médicos","semantic","block","没有专业人员背书。","see product details","consulta los detalles","documented_endorsement_and_review","data/products/product_facts.json","2026-07-28","1.0"
"R-P023","prohibited","environmental_claim","100% eco-friendly / completely green","100% ecológico / totalmente verde","semantic","block","宽泛环保宣称缺乏明确依据。","recyclability depends on local facilities","la posibilidad de reciclaje depende de las instalaciones locales","specific_lifecycle_evidence","https://www.ftc.gov/business-guidance/resources/environmental-claims-summary-green-guides","2026-07-28","1.0"
"R-P024","prohibited","environmental_claim","100% recyclable","100% reciclable","semantic","block","当前资料仅支持带当地设施条件的可回收表述。","recyclability depends on local facilities","la posibilidad de reciclaje depende de las instalaciones locales","market_access_and_material_evidence","https://www.ftc.gov/business-guidance/resources/environmental-claims-summary-green-guides","2026-07-28","1.0"
"R-C001","caution","target_user","for sensitive skin","para piel sensible","semantic","review","当前没有敏感肌专项验证。","for adults seeking a gentle daily routine","para personas adultas que buscan una rutina diaria suave","sensitive_skin_test","data/products/product_facts.json","2026-07-28","1.0"
"R-C002","caution","target_user","for all skin types","para todo tipo de piel","semantic","review","目标人群只覆盖已定义肤质，不能自动扩大。","for normal, dry or combination skin","para piel normal, seca o mixta","expanded_target_user_review","data/products/product_facts.json","2026-07-28","1.0"
"R-C003","caution","ethical_claim","vegan","vegano","exact_and_semantic","review","没有供应链或配方来源证明。","omit the claim","omitir la afirmación","formula_and_supply_chain_evidence","data/products/product_facts.json","2026-07-28","1.0"
"R-C004","caution","ethical_claim","cruelty-free","libre de crueldad / no probado en animales","semantic","review","没有动物测试政策资料。","omit the claim","omitir la afirmación","documented_testing_policy","data/products/product_facts.json","2026-07-28","1.0"
"R-C005","caution","ingredient_claim","natural","natural","semantic","review","natural含义宽泛且未定义。","name the verified ingredient","mencionar el ingrediente verificado","defined_criteria_and_substantiation","data/products/product_facts.json","2026-07-28","1.0"
"R-C006","caution","ingredient_claim","organic","orgánico","semantic","review","没有有机认证。","name the verified ingredient","mencionar el ingrediente verificado","recognized_organic_certification","data/products/product_facts.json","2026-07-28","1.0"
"R-C007","caution","positioning_claim","clean beauty / clean formula","belleza limpia / fórmula limpia","semantic","review","clean没有项目内定义，容易暗示安全优越性。","clear ingredient information","información clara sobre los ingredientes","defined_internal_standard_and_review","data/brand/brand_voice_guide.md","2026-07-28","1.0"
"R-C008","caution","performance_claim","non-comedogenic","no comedogénico","exact_and_semantic","review","没有致痘性测试。","lightweight texture","textura ligera","non_comedogenic_test","data/products/product_facts.json","2026-07-28","1.0"
"R-C009","caution","testing_claim","dermatologist tested","probado dermatológicamente","semantic","review","没有皮肤科测试资料。","project product specification","ficha de producto del proyecto","documented_dermatological_test","data/products/product_facts.json","2026-07-28","1.0"
"R-C010","caution","environmental_claim","sustainable","sostenible","semantic","review","宽泛环境利益需要具体证据和范围。","state the verified material only","indicar únicamente el material verificado","specific_environmental_evidence","https://www.ftc.gov/business-guidance/resources/environmental-claims-summary-green-guides","2026-07-28","1.0"
"R-C011","caution","environmental_claim","recyclable","reciclable","semantic","review","必须保留当地设施可用性限定。","recyclability depends on local facilities","la posibilidad de reciclaje depende de las instalaciones locales","material_and_market_access_evidence","https://www.ftc.gov/business-guidance/resources/environmental-claims-summary-green-guides","2026-07-28","1.0"
"R-C012","caution","duration_claim","long-lasting hydration","hidratación duradera","semantic","review","没有持续时间测试。","helps skin feel hydrated","ayuda a que la piel se sienta hidratada","time_bound_hydration_study","data/products/product_facts.json","2026-07-28","1.0"
"R-C013","caution","duration_claim","all-day hydration","hidratación durante todo el día","semantic","review","没有全天保湿测试。","helps skin feel hydrated","ayuda a que la piel se sienta hidratada","time_bound_hydration_study","data/products/product_facts.json","2026-07-28","1.0"
"R-C014","caution","ph_claim","pH-balanced","pH equilibrado","semantic","review","只有洁面乳具有pH标称值及公差，且不能扩大为适合所有人。","pH 5.5 ± 0.5","pH 5.5 ± 0.5","sku_specific_ph_fact","data/products/product_facts.json","2026-07-28","1.0"
"R-C015","caution","barrier_claim","supports the skin barrier","ayuda a cuidar la barrera cutánea","semantic","review","当前只有基础保湿感受，没有屏障专项证据。","helps skin feel moisturized","ayuda a que la piel se sienta hidratada","barrier_specific_efficacy_evidence","data/products/product_facts.json","2026-07-28","1.0"
"R-C016","caution","testing_claim","clinically tested","probado clínicamente","semantic","review","当前没有临床测试文件。","omit the testing claim","omitir la afirmación de prueba","clinical_test_report_and_claim_review","data/products/product_facts.json","2026-07-28","1.0"
