group_id,candidate_id,sku,market,language,content_type,version,fact_accuracy,fact_error,platform_fit_score,language_naturalness_score,publishability_score,modification_count,review_minutes,failure_tags,auto_platform_pass,auto_terminology_pass,auto_terminology_detail,one_pass_usable,source_file,source_sheet,source_range
G022,G022-A,MV-SERUM-001,MX,es-MX,product_listing,baseline,Fail,True,2,2,2,4,7,Unsupported packaging; Language issue; Platform structure,False,False,serum → sérum,False,data/evaluation/human_evaluation_scored_revealed.xlsx,Blind Review,A3:Y63
G022,G022-B,MV-SERUM-001,MX,es-MX,product_listing,localizeflow,Fail,True,4,5,2,2,6,Unsupported packaging,True,True,核心术语符合目标语言约定。,False,data/evaluation/human_evaluation_scored_revealed.xlsx,Blind Review,A3:Y63
G028,G028-B,MV-SERUM-001,MX,es-MX,short_video_script,baseline,Pass,False,3,2,3,3,6,Language issue; Borderline mean score,True,False,serum → sérum,False,data/evaluation/human_evaluation_scored_revealed.xlsx,Blind Review,A3:Y63
G028,G028-A,MV-SERUM-001,MX,es-MX,short_video_script,localizeflow,Pass,False,4,5,4,1,4,None,True,True,核心术语符合目标语言约定。,True,data/evaluation/human_evaluation_scored_revealed.xlsx,Blind Review,A3:Y63
G014,G014-B,MV-SERUM-001,MX,es-MX,social_ad_copy,baseline,Pass,False,3,3,3,3,5,None,True,True,核心术语符合目标语言约定。,False,data/evaluation/human_evaluation_scored_revealed.xlsx,Blind Review,A3:Y63
G014,G014-A,MV-SERUM-001,MX,es-MX,social_ad_copy,localizeflow,Pass,False,4,5,4,1,4,None,True,True,核心术语符合目标语言约定。,True,data/evaluation/human_evaluation_scored_revealed.xlsx,Blind Review,A3:Y63
G018,G018-A,MV-SERUM-001,US,en-US,product_listing,baseline,Fail,True,2,3,2,4,7,Unsupported packaging; Platform structure,False,True,核心术语符合目标语言约定。,False,data/evaluation/human_evaluation_scored_revealed.xlsx,Blind Review,A3:Y63
G018,G018-B,MV-SERUM-001,US,en-US,product_listing,localizeflow,Fail,True,4,4,2,3,6,Unsupported packaging; Language issue,True,False,a opaque → an opaque,False,data/evaluation/human_evaluation_scored_revealed.xlsx,Blind Review,A3:Y63
G010,G010-A,MV-SERUM-001,US,en-US,short_video_script,baseline,Pass,False,3,3,3,3,5,None,False,True,核心术语符合目标语言约定。,False,data/evaluation/human_evaluation_scored_revealed.xlsx,Blind Review,A3:Y63
G010,G010-B,MV-SERUM-001,US,en-US,short_video_script,localizeflow,Pass,False,4,5,4,1,4,None,True,True,核心术语符合目标语言约定。,True,data/evaluation/human_evaluation_scored_revealed.xlsx,Blind Review,A3:Y63
G023,G023-A,MV-SERUM-001,US,en-US,social_ad_copy,baseline,Pass,False,3,3,3,3,5,None,True,True,核心术语符合目标语言约定。,False,data/evaluation/human_evaluation_scored_revealed.xlsx,Blind Review,A3:Y63
G023,G023-B,MV-SERUM-001,US,en-US,social_ad_copy,localizeflow,Pass,False,4,5,4,1,4,None,True,True,核心术语符合目标语言约定。,True,data/evaluation/human_evaluation_scored_revealed.xlsx,Blind Review,A3:Y63
