"fact_id","sku","fact_category","attribute","value","value_type","unit","sequence","evidence_level","source","source_type","allowed_expression","prohibited_expression","generation_policy","market_scope","language_scope","is_numeric","status","linked_fact_ids","notes"
"MV-CLEAN-001-F001","MV-CLEAN-001","basic_info","product_name_zh","云柔氨基酸洁面乳","string","","","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""云柔氨基酸洁面乳""]","[""未经确认的其他商品名称""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-CLEAN-001-F002","MV-CLEAN-001","basic_info","category","面部洁面乳","string","","","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""面部洁面乳""]","[""药品"",""医疗器械""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-CLEAN-001-F003","MV-CLEAN-001","specification","net_volume","120","number","mL","","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""120 mL""]","[""超过或少于120 mL""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","true","active","[]",""
"MV-CLEAN-001-F004","MV-CLEAN-001","ingredient","ingredient","水","string","","1","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""含水"",""水""]","[""不含水""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","sequence保留模拟配方中的成分顺序。"
"MV-CLEAN-001-F005","MV-CLEAN-001","ingredient","ingredient","甘油","string","","2","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""含甘油"",""甘油""]","[""不含甘油""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","sequence保留模拟配方中的成分顺序。"
"MV-CLEAN-001-F006","MV-CLEAN-001","ingredient","ingredient","椰油酰甘氨酸钠","string","","3","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""含椰油酰甘氨酸钠"",""椰油酰甘氨酸钠""]","[""不含椰油酰甘氨酸钠""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","sequence保留模拟配方中的成分顺序。"
"MV-CLEAN-001-F007","MV-CLEAN-001","ingredient","ingredient","椰油酰胺丙基甜菜碱","string","","4","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""含椰油酰胺丙基甜菜碱"",""椰油酰胺丙基甜菜碱""]","[""不含椰油酰胺丙基甜菜碱""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","sequence保留模拟配方中的成分顺序。"
"MV-CLEAN-001-F008","MV-CLEAN-001","ingredient","ingredient","泛醇","string","","5","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""含泛醇"",""泛醇""]","[""不含泛醇""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","sequence保留模拟配方中的成分顺序。"
"MV-CLEAN-001-F009","MV-CLEAN-001","ingredient","ingredient","甜菜碱","string","","6","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""含甜菜碱"",""甜菜碱""]","[""不含甜菜碱""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","sequence保留模拟配方中的成分顺序。"
"MV-CLEAN-001-F010","MV-CLEAN-001","ingredient","ingredient","尿囊素","string","","7","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""含尿囊素"",""尿囊素""]","[""不含尿囊素""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","sequence保留模拟配方中的成分顺序。"
"MV-CLEAN-001-F011","MV-CLEAN-001","ingredient","ingredient","柠檬酸","string","","8","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""含柠檬酸"",""柠檬酸""]","[""不含柠檬酸""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","sequence保留模拟配方中的成分顺序。"
"MV-CLEAN-001-F012","MV-CLEAN-001","ingredient","ingredient","苯甲酸钠","string","","9","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""含苯甲酸钠"",""苯甲酸钠""]","[""不含苯甲酸钠""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","sequence保留模拟配方中的成分顺序。"
"MV-CLEAN-001-F013","MV-CLEAN-001","ingredient","ingredient","山梨酸钾","string","","10","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""含山梨酸钾"",""山梨酸钾""]","[""不含山梨酸钾""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]","sequence保留模拟配方中的成分顺序。"
"MV-CLEAN-001-F014","MV-CLEAN-001","target_user","target_users","希望获得温和日常清洁体验的中性、干性或混合性肌肤成年人","string","","","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""希望获得温和日常清洁体验的中性、干性或混合性肌肤成年人""]","[""适合所有人"",""对所有敏感肌绝对安全""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-CLEAN-001-F015","MV-CLEAN-001","usage","usage_instruction","取1—2泵于湿润面部，轻柔按摩约30秒后用清水洗净；避开眼周","string","","","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""取1—2泵于湿润面部，轻柔按摩约30秒后用清水洗净；避开眼周""]","[""改变使用顺序或用量"",""省略必要注意事项""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-CLEAN-001-F016","MV-CLEAN-001","usage","usage_amount_min","1","number","pump","","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""1 pump""]","[""未经确认的其他用量或时长""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","true","active","[]",""
"MV-CLEAN-001-F017","MV-CLEAN-001","usage","usage_amount_max","2","number","pump","","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""2 pump""]","[""未经确认的其他用量或时长""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","true","active","[]",""
"MV-CLEAN-001-F018","MV-CLEAN-001","usage","massage_duration","30","number","second","","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""30 second""]","[""未经确认的其他用量或时长""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","true","active","[]",""
"MV-CLEAN-001-F019","MV-CLEAN-001","specification","verified_feature","无添加香精","string","","1","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""无添加香精""]","[""将规格特征升级为临床或绝对化功效""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-CLEAN-001-F020","MV-CLEAN-001","specification","verified_feature","不含硫酸盐表面活性剂","string","","2","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""不含硫酸盐表面活性剂""]","[""将规格特征升级为临床或绝对化功效""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-CLEAN-001-F021","MV-CLEAN-001","specification","verified_feature","模拟规格pH 5.5±0.5","string","","3","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""模拟规格pH 5.5±0.5""]","[""将规格特征升级为临床或绝对化功效""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-CLEAN-001-F022","MV-CLEAN-001","specification","verified_feature","泵式包装","string","","4","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""泵式包装""]","[""将规格特征升级为临床或绝对化功效""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","false","active","[]",""
"MV-CLEAN-001-F023","MV-CLEAN-001","specification","ph_nominal","5.5","number","pH","","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""pH 5.5±0.5""]","[""对所有肤质完美平衡""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","true","active","[]",""
"MV-CLEAN-001-F024","MV-CLEAN-001","specification","ph_tolerance","0.5","number","pH","","A","SIM-SPEC-CLEAN-V1","project_simulated_product_specification","[""±0.5""]","[""省略公差并表述为绝对值""]","direct","[""US"",""MX""]","[""zh"",""en"",""es""]","true","active","[]",""
"MV-CLEAN-001-F025","MV-CLEAN-001","function","allowed_benefit","帮助洗去皮肤表面的污垢和多余油脂","string","","1","B","SIM-CLAIM-CLEAN-V1","project_simulated_internal_claim_review","[""帮助洗去皮肤表面的污垢和多余油脂""]","[""治疗或治愈皮肤疾病"",""临床证明（未提供证据）"",""保证所有用户获得相同结果""]","cautious","[""US"",""MX""]","[""zh"",""en"",""es""]","false","caution","[]","内部允许的谨慎功效表达；无外部临床或消费者研究证据。"
"MV-CLEAN-001-F026","MV-CLEAN-001","function","allowed_benefit","清洁后肌肤感觉舒适","string","","2","B","SIM-CLAIM-CLEAN-V1","project_simulated_internal_claim_review","[""清洁后肌肤感觉舒适""]","[""治疗或治愈皮肤疾病"",""临床证明（未提供证据）"",""保证所有用户获得相同结果""]","cautious","[""US"",""MX""]","[""zh"",""en"",""es""]","false","caution","[]","内部允许的谨慎功效表达；无外部临床或消费者研究证据。"
"MV-CLEAN-001-F027","MV-CLEAN-001","function","allowed_benefit","适合日常清洁步骤","string","","3","B","SIM-CLAIM-CLEAN-V1","project_simulated_internal_claim_review","[""适合日常清洁步骤""]","[""治疗或治愈皮肤疾病"",""临床证明（未提供证据）"",""保证所有用户获得相同结果""]","cautious","[""US"",""MX""]","[""zh"",""en"",""es""]","false","caution","[]","内部允许的谨慎功效表达；无外部临床或消费者研究证据。"
"MV-CLEAN-001-F028","MV-CLEAN-001","risk_limit","prohibited_claim","治疗痤疮或湿疹","string","","1","D","SIM-CLAIM-CLEAN-V1","project_simulated_internal_claim_review","[]","[""治疗痤疮或湿疹""]","blocked","[""US"",""MX""]","[""zh"",""en"",""es""]","false","prohibited","[]","命中该表达或语义等价表达时阻止内容导出。"
"MV-CLEAN-001-F029","MV-CLEAN-001","risk_limit","prohibited_claim","深层排毒","string","","2","D","SIM-CLAIM-CLEAN-V1","project_simulated_internal_claim_review","[]","[""深层排毒""]","blocked","[""US"",""MX""]","[""zh"",""en"",""es""]","false","prohibited","[]","命中该表达或语义等价表达时阻止内容导出。"
"MV-CLEAN-001-F030","MV-CLEAN-001","risk_limit","prohibited_claim","永久缩小毛孔","string","","3","D","SIM-CLAIM-CLEAN-V1","project_simulated_internal_claim_review","[]","[""永久缩小毛孔""]","blocked","[""US"",""MX""]","[""zh"",""en"",""es""]","false","prohibited","[]","命中该表达或语义等价表达时阻止内容导出。"
"MV-CLEAN-001-F031","MV-CLEAN-001","risk_limit","prohibited_claim","对所有敏感肌绝对安全","string","","4","D","SIM-CLAIM-CLEAN-V1","project_simulated_internal_claim_review","[]","[""对所有敏感肌绝对安全""]","blocked","[""US"",""MX""]","[""zh"",""en"",""es""]","false","prohibited","[]","命中该表达或语义等价表达时阻止内容导出。"
"MV-CLEAN-001-F032","MV-CLEAN-001","risk_limit","prohibited_claim","低敏","string","","5","D","SIM-CLAIM-CLEAN-V1","project_simulated_internal_claim_review","[]","[""低敏""]","blocked","[""US"",""MX""]","[""zh"",""en"",""es""]","false","prohibited","[]","命中该表达或语义等价表达时阻止内容导出。"
